id,y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp
a2e7de6f,7,1,0,60,54,2,0,1,0,152,42,45,87,18,GER
a3ddb1b9,5,0,0,50,25,26,1,0,0,42,24,47,71,18,GER
a4e14205,1,0,0,8,4,0,0,0,0,38,7,6,13,18,GER
a4effc55,0,1,0,13,4,0,0,0,0,24,40,19,59,18,GER
a4f94a0d,3,0,0,56,41,4,0,0,0,142,23,47,70,18,GER
a53b661f,3,0,0,20,43,7,0,0,0,125,60,60,120,18,GER
a572e291,2,0,0,17,12,0,0,1,0,43,6,8,14,18,GER
a5ae8f8e,2,0,0,21,27,1,0,1,1,89,46,49,95,18,GER
a5d77c4e,0,0,0,2,0,0,0,0,0,1,0,0,0,18,GER
a5ec3ede,2,0,0,10,19,1,0,0,0,60,65,28,93,18,GER
a63a995f,3,0,0,19,34,0,0,1,0,65,42,20,62,18,GER
a7813ac4,0,0,0,16,26,5,0,0,0,102,29,47,76,18,GER
a93b6f4e,0,0,0,3,0,0,0,0,0,7,10,3,13,18,GER
a96e5dc0,1,0,0,9,24,2,0,0,0,68,14,17,31,18,GER
aad48be9,2,0,0,26,28,0,0,2,1,64,64,43,107,18,GER
ab700320,1,0,0,4,10,0,1,0,0,63,8,16,24,18,GER
abb42ce6,3,0,0,11,8,0,0,1,0,71,9,13,22,18,GER
acc7b7ec,0,0,0,10,15,5,0,0,0,32,8,12,20,18,GER
ad00b1a8,0,0,0,0,1,0,0,0,0,4,3,1,4,18,GER
ad3389d5,1,0,0,0,2,0,0,0,0,74,7,0,7,18,GER
aeda1f69,5,0,0,28,59,7,4,0,0,83,22,48,70,18,GER
afb0c500,0,0,0,0,0,0,0,0,0,1,0,0,0,18,GER
b1823b08,0,0,0,3,0,0,0,0,0,7,0,7,7,18,GER
b1cd37e6,2,0,0,35,40,8,0,1,0,111,30,64,94,18,GER
b3325a30,3,0,0,36,28,0,0,0,0,94,18,21,39,18,GER
b3b7f5a6,3,0,0,23,19,4,0,0,0,63,31,40,71,18,GER
b48215cd,0,0,0,15,13,7,0,0,0,17,9,8,17,18,GER
b500b384,3,0,0,25,23,4,0,1,0,42,22,16,38,18,GER
b5920350,1,0,0,4,2,3,0,0,0,21,2,8,10,18,GER
b5f63410,1,1,1,25,40,1,1,0,0,28,16,36,52,18,GER
b682dcf6,5,1,0,39,33,1,0,1,0,99,78,32,110,18,GER
b69261a0,2,0,0,31,13,3,0,0,0,101,19,26,45,18,GER
b6a6e0a7,2,0,0,11,19,0,0,0,0,71,5,11,16,18,GER
b742cc0d,1,0,0,10,9,1,0,0,0,41,36,18,54,18,GER
b825a650,3,0,0,30,21,7,0,0,0,160,9,17,26,18,GER
b82880c6,10,1,0,39,25,0,0,0,0,104,72,32,104,18,GER
b883006f,0,0,0,0,0,0,0,0,0,0,0,2,2,18,GER
b93b7882,3,0,0,44,45,1,0,0,0,99,94,82,176,18,GER
b9ebc83e,0,0,0,1,1,2,0,0,0,1,0,0,0,18,GER
ba115a40,2,0,0,55,52,21,0,0,0,78,134,130,264,18,GER
bb25c778,1,0,0,0,0,0,0,0,0,6,0,0,0,18,GER
bbb496b5,1,0,0,7,5,1,0,0,0,19,5,11,16,18,GER
bcb2ccd8,1,0,0,0,0,0,0,0,0,44,5,0,5,18,GER
bd142efb,1,0,0,15,23,0,0,1,0,175,70,35,105,18,GER
bd7d2e6d,4,0,0,40,28,1,0,1,0,109,73,44,117,18,GER
beb882a8,3,0,0,48,45,2,0,0,0,107,54,56,110,18,GER
bee0bab1,2,0,0,19,21,3,0,0,0,58,2,6,8,18,GER
c0a0c18f,1,0,0,0,1,0,0,0,0,0,0,1,1,18,GER
c0dc9fc7,0,0,0,4,7,2,0,1,0,16,9,11,20,18,GER
c18d22f5,1,0,0,14,13,0,0,0,0,54,14,13,27,18,GER
c1b7847c,2,0,0,33,6,0,0,0,0,62,21,22,43,18,GER
c2009df3,4,0,0,20,30,0,0,1,0,107,47,40,87,18,GER
c21fb312,1,0,0,22,18,3,0,0,0,17,18,46,64,18,GER
c311243f,5,0,0,33,12,0,0,1,0,96,11,12,23,18,GER
c3fd9887,4,1,0,41,24,7,0,0,0,31,50,66,116,18,GER
c419e035,0,0,0,1,3,1,0,0,0,3,7,6,13,18,GER
c50281a0,5,0,0,10,23,1,0,0,0,68,35,25,60,18,GER
c50e5bba,6,0,0,39,19,1,0,0,0,156,35,39,74,18,GER
c5fd13e9,1,0,0,20,25,0,0,0,0,145,78,34,112,18,GER
c6637acf,8,0,0,68,48,7,0,0,0,137,159,137,296,18,GER
c70b221c,0,0,0,2,1,1,0,0,0,3,1,4,5,18,GER
c8e25f78,2,0,0,30,26,0,0,0,0,130,37,42,79,18,GER
c952f633,0,0,0,4,0,0,0,0,0,5,2,0,2,18,GER
ca618d23,0,0,0,20,23,2,0,0,0,31,24,15,39,18,GER
ca8033cb,2,0,0,13,16,1,0,0,0,106,41,34,75,18,GER
cbac6ec9,0,0,0,0,0,0,0,0,0,4,3,0,3,18,GER
