id,fk_ag,ck_ag,og_ag,ps_xg,ps_xg_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,att_launch_non_goal_kick,att_pass_non_goal_kick,season,comp
2b9b37b2,0,0,0,3.9,-0.1,14,36,69,12,2470.2,22,825.0,51,1,52,17.4,9,14,47,21,FRA
2c127b6f,0,1,0,3.5,0.5,3,13,19,6,748.6,9,266.4,14,0,65,21.8,3,4,10,21,FRA
2d70dbe5,0,3,0,33.6,-9.4,92,320,435,109,15964.5,197,10125.8,288,10,256,15.1,137,123,238,21,FRA
2fa2a875,1,0,1,21.7,-4.3,109,322,837,110,26867.7,169,6489.6,312,9,1159,18.7,72,153,668,21,FRA
33887998,0,0,0,0.8,-0.2,6,11,23,2,770.5,6,174.0,11,0,0,11.0,1,5,17,21,FRA
380a15e2,0,1,0,14.0,3.0,94,180,230,46,9039.0,82,4542.8,145,7,21,10.5,70,98,148,21,FRA
3814120d,0,1,1,10.3,-2.7,54,133,189,47,6690.6,56,3315.2,93,1,21,10.6,48,77,133,21,FRA
4e7db402,2,7,1,51.2,-2.8,199,641,864,131,34473.6,257,14083.6,507,23,536,14.9,207,384,607,21,FRA
58ad9383,0,7,1,49.9,1.9,192,640,1106,159,40590.2,340,15844.0,574,11,493,14.5,198,300,766,21,FRA
5ee6e943,1,0,0,8.5,-1.5,13,40,71,26,2130.0,30,1665.0,55,2,26,13.4,22,10,41,21,FRA
5f0241b2,0,0,1,10.2,2.2,6,23,158,40,3665.6,55,1347.5,110,0,180,18.0,6,-32,103,21,FRA
667b65da,1,0,0,10.9,2.9,46,128,149,30,5736.5,69,3788.1,119,5,103,14.8,52,59,80,21,FRA
74733221,0,4,0,12.9,-1.1,76,198,425,71,13005.0,122,5843.8,169,3,811,20.8,74,76,303,21,FRA
76806215,0,0,0,1.7,-0.3,0,0,20,7,344.0,3,54.9,12,0,12,12.0,0,-3,17,21,FRA
834b5c4c,1,3,0,9.2,-3.8,38,101,124,25,4972.4,50,2745.0,85,4,15,7.7,37,51,74,21,FRA
8a2248b4,1,11,0,50.8,-2.2,91,286,919,180,24996.8,300,9720.0,572,24,262,13.1,92,-14,619,21,FRA
a4527d33,1,3,0,31.0,0.0,195,404,520,81,20228.0,192,10272.0,349,11,130,11.9,143,212,328,21,FRA
abc06eb3,0,4,0,33.3,0.3,97,297,472,103,16000.8,177,8513.7,330,7,149,11.5,120,120,295,21,FRA
ae7d0ecd,0,4,1,38.4,1.4,207,526,752,184,28876.8,286,14643.2,536,39,756,16.1,198,240,466,21,FRA
b052b8bf,1,2,1,20.3,-8.7,66,187,297,70,10454.4,105,4746.0,166,5,275,16.2,66,82,192,21,FRA
b49729cb,1,5,2,53.6,-6.4,181,398,967,173,32587.9,282,9700.8,548,26,309,12.9,91,116,685,21,FRA
bcf1b2e9,1,7,0,64.1,-6.9,254,731,1287,148,46460.7,304,14318.4,600,17,660,16.1,201,427,983,21,FRA
be13e5a8,0,0,0,1.6,-2.4,4,16,30,9,1050.0,7,329.7,17,0,0,7.7,6,9,23,21,FRA
c4173f1a,0,1,0,12.7,-1.3,43,120,226,24,7435.4,61,3220.8,92,1,215,21.5,44,59,165,21,FRA
c631f952,0,4,2,49.2,0.2,199,454,737,175,26163.5,246,12004.8,442,24,214,13.4,160,208,491,21,FRA
cecbce23,0,1,2,33.6,0.5999999999999996,110,294,654,144,19692.6,195,8554.0,344,14,740,31.0,109,99,459,21,FRA
db87a2c4,0,0,0,1.5,0.5,2,4,28,9,596.4,2,72.0,12,0,37,18.6,1,2,26,21,FRA
ecada4fc,0,2,0,26.0,8.0,65,139,572,115,15558.4,170,4539.0,308,0,415,16.6,35,-31,402,21,FRA
edbe46dc,0,5,3,42.6,-5.4,186,494,764,141,28650.0,257,10023.0,480,17,414,14.3,122,237,507,21,FRA
eedea60b,0,0,0,1.5,0.5,5,15,40,13,1164.0,12,435.6,24,0,53,17.8,5,3,28,21,FRA
f00de885,2,4,2,36.3,-4.7,150,338,934,186,28300.2,249,8864.4,499,10,1098,18.3,96,89,685,21,FRA
fbf83734,1,3,1,20.6,-3.4,71,188,249,44,9237.9,108,4978.8,204,1,72,12.1,75,80,141,21,FRA
fcb38f57,0,7,2,28.8,7.8,123,393,826,194,26101.6,240,11688.0,490,27,756,17.2,143,153,586,21,FRA
0d55d942,1,6,0,42.2,-8.8,126,333,621,125,20493.0,204,9832.8,404,17,480,15.0,129,129,417,22,GER
0d8a37c2,0,0,0,0.4,-0.6,6,13,41,4,1209.5,6,310.8,18,0,0,8.0,3,7,35,22,GER
11d8aff0,0,0,0,1.5,-1.5,2,5,14,1,414.4,7,205.8,4,0,100,25.0,1,-2,7,22,GER
17376543,1,2,2,52.3,-1.7,233,579,951,145,34711.5,287,13689.9,532,24,851,16.7,181,292,664,22,GER
1940be91,0,0,0,0.0,0.0,1,1,4,0,72.0,0,0.0,0,0,0,19.0,0,1,4,22,GER
25bdea4b,1,4,2,23.0,-3.0,120,326,441,49,18125.1,115,6428.5,224,8,412,17.2,96,211,326,22,GER
2e7ff968,0,1,0,8.6,-3.4,16,32,147,31,4071.9,30,846.0,54,3,185,20.6,5,2,117,22,GER
37998008,0,0,1,1.8,0.8,5,17,37,7,1054.5,10,438.0,12,0,0,12.0,6,7,27,22,GER
3cd9e95a,0,3,1,19.7,-0.3,67,166,438,47,14497.8,81,2705.4,149,4,330,17.4,25,85,357,22,GER
420c18a1,1,5,0,57.0,-3.0,147,439,1213,162,37966.9,221,8221.2,428,19,858,16.2,88,218,992,22,GER
47064058,0,9,1,51.5,-4.5,138,393,1302,185,37758.0,216,6220.8,420,27,1085,16.7,53,177,1086,22,GER
4d6a842d,0,5,1,19.7,-3.3,63,211,408,69,14320.8,87,3897.6,227,13,138,13.8,52,124,321,22,GER
5584552e,0,4,0,13.8,-6.2,63,188,262,47,10401.4,73,3832.5,144,13,121,12.1,51,115,189,22,GER
5c4bf6ba,0,4,1,39.1,-1.9,119,389,766,166,26350.4,236,9298.4,423,29,1217,17.9,106,153,530,22,GER
